,corpus_ID,dataset_id,query_type,title,abstract,authors,DOI,years,journal
0,134273560,114,1,"Event review: 3rd International Conference on Best Practices in World Heritage: Integral Actions. Mahon (Menorca, Balearic Islands, Spain) 2nd to 5th of May 2018","The 3rd International Conference on Best Practices in World Heritage was held in Mahon from the 2nd to 5th of May. Alicia Castillo and Ángeles Querol (Complutense University of Madrid, Spain – UCM), with their team of diligent students successfully organized the third in the series of conferences supported by the Island Council of Menorca. This year’s was Integral Actions, aptly reflecting the interdisciplinary and dynamic nature of managing cultural landscapes. As more sites are inscribed to the World Heritage List, the boundaries of cultural landscapes become increasingly permeable, demanding integrated management approaches that respect the diversity of these landscapes and their local communities, while encouraging greater cooperation between a broader range of actors. Stephan Döempke (World Heritage Watch, Germany) opened the conference with a keynote lecture on sustainable protection and sustainable development. Painting a sobering picture of the complexity of managing World Heritage sites (WHS) in Tajikistan, Ethiopia, China and Georgia, he described the lack of local infrastructure, resources, support and effective coordination between various local and international actors as challenges that impact the protection and management of sites, but notably impact the lives of resident communities. The need to engage local civic societies as well as volunteers, practitioners, and academics in designing and implementing management strategies that support sustainable development, while protecting WHS, was a message that underlined the sessions which followed. Presentations on Florence, Edinburgh, Bali, Moche Valley and Qhapaq Ñan, described the complex and often challenging interactions between government entities, civic societies and community members, and the role that NGOs play in addressing some of these challenges. With Renée Siván (Chief Curator, Tower of David Museum, Jerusalem) as moderator, the presentations were linked by Professor Nobuko Inaba’s (Tsukuba University, Japan) lecture, describing the interplay of nature and culture in Japanese cultural sites, and the role of local government and communities in the sustainable management of these sites. Professor Juan Luis Arsuaga (UCM) began the second day with a scientific look at the earliest examples of cultural heritage, inaugurating the scientific theme of the day. Moderated by Dr. Charles Musiba (University of Colorado, USA), the subsequent presentations revealed inextricable links between science, heritage conservation, public health and well-being. More than one presentation gave examples of recruiting citizen scientists as an effective strategy in fostering stronger civic engagement in protecting WHS. Perhaps the most significant lesson was reciprocal knowledge exchange between heritage scientists and local residents, whereby each fulfilled a complementary role in the holistic management and protection of sites. The two next sessions primarily focused on integrating cultural heritage management with sustainable development. The presentations addressed the mutable nature of heritage values, challenges of balancing competing values, protection of intangible heritage as well as devising strategies that protected Outstanding Universal Values in the face of increasing economic pressures and ambitious political agendas. With Sonia Menendez (Cabinet of Archaeology, Cuba) and Manuel","[{'authorId': '105065904', 'name': 'Linda Shetabi'}]",10.1080/20518196.2018.1487626,2018,Journal of Community Archaeology & Heritage
1,240295306,114,1,AsiaJCIS 2018 Program Committee,"Anirban Basu, University of Sussex, UK Chia-Mei Chen, National Sun Yat-sen University, Taiwan I-Te Chen, Kaohsiung Medical University, Taiwan Kefei Chen, Shanghai Jiaotong University, China Tzung-Her Chen, National Chiayi University, Taiwan Chen-Mou Cheng, National Taiwan University, Taiwan Jiin-Chiou Cheng, Southern Taiwan University of Science and Technology, Taiwan Hung-Yu Chien, National Chi Nan University, Taiwan Weili Han, Fudan University, China Wei-Hua He, Soochow University, Taiwan Yoshiaki Hori, Saga University, Japan Chien-Lung Hsu, Chang Gung University, Taiwan Chun-Ying Huang, National Taiwan Ocean University, Taiwan Qiong Huang, South China Agricultural University, China Xinyi Huang, Fujian Normal University, China Yongzhong Huang, Guilin University of Electronic Technology, China Min-Shiang Hwang, Asia University, Taiwan Ren-Junn Hwang, Tamkang University, Taiwan Makoto Iwamura, NTT, Japan Wen-Shenq Juang, National Kaohsiung First University of Science and Technology, Taiwan Heeseok Kim, Korea University, Korea Hyoungshick Kim, Sungkyunkwan University, Korea Taekyung Kim, Myong Ji College, Korea Ayumu Kubota, KDDI Research, Japan Wen-Chung Kuo, National Yunlin University of Science and Technology, Taiwan Hiroki Kuzuno, SECOM, Japan Chin-Feng Lee, Chaoyang University of Technology, Taiwan Jung-San Lee, Feng Chia University, Taiwan Narn-Yih Lee, Southern Taiwan University of Science and Technology, Taiwan Fagen Li, UESTC, China Wenfen Liu, Guilin University of Electronic Technology, China Chu-Hsing Lin, Tunghai University, Taiwan Shengli Liu, Shanghai Jiaotong University, China Nai-Wei Lo, National Taiwan University of Science and Technology, Taiwan Daisuke Miyamoto, NAIST, Japan Junji Nakazato, NICT, Japan Dae Hun Nyang, Inha University, Korea Satsuya Ohata, AIST, Japan Kazumasa Omote, University of Tsukuba, Japan Keundug Park, Seoul University of Foreign Studies, Korea Neungsoo Park, Konkuk University, Korea Yizhi Ren, Hangzhou Dianzi University, China Kyung-Hyune Rhee, Pukyong University, Korea Seonghan Shin, AIST, Japan Boyeon Song, KISTI, Korea Purui Su, Institute of Software Chinese Academy of Sciences, China","[{'authorId': '2052214253', 'name': 'A. Basu'}]",10.1109/asiajcis.2018.00008,2018,2018 13th Asia Joint Conference on Information Security (AsiaJCIS)
2,79905917,114,1,Tris(8-hydroxyquinoline)iron induces apoptotic cell death via oxidative stress and by activating death receptor signaling pathway in human head and neck carcinoma cells,"// Leong-Perng Chan 1, 2 , Ya-Ping Tseng 3 , Cheng Liu 4, 5 , Hsiou-Yu Ding 6 , Sheng-Ming Pan 7 , Feng-Yu Chiang 2 , Ling-Feng Wang 2 , Tzung-Han Chou 8 , Po-Lin Kuo 1, 9 and Chia-Hua Liang 6 1 Graduate Institute of Clinical Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan 2 Department of Otolaryngology-Head and Neck Surgery, Kaohsiung Medical University Hospital, Kaohsiung Medical University, Kaohsiung, Taiwan 3 Institute of Basic Medical Sciences, National Cheng Kung University, Tainan, Taiwan 4 Division of Plastic Surgery and HBOT Center, Chi Mei Medical Center, Tainan, Taiwan 5 Department of Electrical Engineering, Southern Taiwan University of Science and Technology, Tainan, Taiwan 6 Department of Cosmetic Science and Institute of Cosmetic Science, Chia Nan University of Pharmacy and Science, Tainan, Taiwan 7 Chemical Systems Research Division-Propellant Plant, Nation Chung-Shan Institute of Science and Technology, Kaohsiung, Taiwan 8 Department of Chemical and Materials Engineering, National Yunlin University of Science and Technology, Yunlin, Taiwan 9 Institute of Medical Science and Technology, National Sun Yat-Sen University, Kaohsiung, Taiwan Correspondence to: Po-Lin Kuo, email: kuopolin@seed.net.tw Chia-Hua Liang, email: tinna_ling@mail.cnu.edu.tw Keywords: tris (8-hydroxyquinoline) iron; human head and neck carcinoma; oxidative stress; mitochondria; death receptor Received: February 24, 2017      Accepted: December 05, 2017      Published: January 02, 2018 ABSTRACT Head and neck squamous cell carcinoma (HNSCC) is associated with a high rate of mortality and novel anti-HNSCC drugs must be developed. 8-Hydroxyquinoline derivatives are associated with anti-oxidant, anti-tumor and anti-HIV-1 properties. Tris(8-hydroxyquinoline)iron (Feq3), a novel compound, was synthesized. Feq3 induced the death of HNSCC cells and caused them to exhibit the morphological features of apoptosis. Feq3 also induced apoptosis of SCC9 cells by cell cycle arrest during the G2/M phase and the induced arrest of SCC25 cells in the G0/G1 and G2/M phases, which was associated with decreased cyclin B1/cdc2 and cyclin D/cdk4 expressions. Feq3 increases reactive oxygen species (ROS) and reduces glutathione (GSH) levels, and responds to increased p53 and p21 expressions. Feq3 induced apoptosis by mitochondria-mediated Bax and cytochrome c up-expression and down-expression Bcl-2. Feq3 also up-regulated tBid, which interacts with the mitochondrial pathway and tumor necrosis factor-α (TNF-α)/TNF-Rs, FasL/Fas, and TNF-related apoptosis inducing ligand receptors (TRAIL-Rs)/TRAIL-dependent caspases apoptotic signaling pathway in HNSCC cells. However, Feq3 activates Fas but not FasL in SCC25 cells. Feq3 arrests the growth of HNSCC cells and is involved in the mitochondria- and death receptor (DR)-mediated caspases apoptotic pathway. This study is the first to suggest that apoptosis mediates the anti-HNSCC of Feq3. Feq3 has potential as a cancer therapeutic agent against HNSCC.","[{'authorId': '88763211', 'name': 'Leong‐Perng Chan'}, {'authorId': '5701682', 'name': 'Ya-Ping Tseng'}, {'authorId': '50557030', 'name': 'Cheng Liu'}, {'authorId': '5843243', 'name': 'H. Ding'}, {'authorId': '89114994', 'name': 'Sheng-Ming Pan'}, {'authorId': '1792352', 'name': 'F. Chiang'}, {'authorId': '102520423', 'name': 'Ling-Feng Wang'}, {'authorId': '39063858', 'name': 'Tzung-Han Chou'}, {'authorId': '143835867', 'name': 'P. Kuo'}, {'authorId': '9404340', 'name': 'C. Liang'}]",10.18632/ONCOTARGET.24248,2018,Oncotarget
3,4085322,114,1,A Classification of Motzkin Numbers Modulo 8,"The well-known Motzkin numbers were conjectured by Deutsch and Sagan to be nonzero when modulo $8$. The conjecture was first proved by Sen-Peng Eu, Shu-chung Liu and Yeong-Nan Yeh by using the factorial representation of the Catalan numbers. We present a short proof by finding a recursive formula for Motzkin numbers modulo $8$. Moreover, such a recursion leads to a full classification of Motzkin numbers modulo $8$. An addendum was added on April 3 2018.","[{'authorId': '49416173', 'name': 'Y. Wang'}, {'authorId': '39836739', 'name': 'G. Xin'}]",10.37236/7092,2018,Electron. J. Comb.
4,89610478,114,1,functional alkyl-p molecular liquids †,"International Center for Materials Nan Institute for Materials Science (NIMS), 1 E-mail: nakanishi.takashi@nims.go.jp Materials Design Division, Faculty of Mat University of Technology, Woloska 141, 02-5 Laboratory for Chemistry and Life Science Institute of Technology, 4259 Nagatsuta, Mi Materials Data Platform Center, Research a Integrated System (MaDIS), NIMS, 1-2-1 Sen Smart Material Science and Technology, Int and Technology, Shinshu University, 1-15-1 † Electronic supplementary information NMR, MALDI-TOF MS, additional gure text. See DOI: 10.1039/c8sc02723d Cite this: Chem. Sci., 2018, 9, 6774","[{'authorId': '49518217', 'name': 'Fengniu Lu'}, {'authorId': '14943629', 'name': 'Keumhee Jang'}, {'authorId': '52238321', 'name': 'I. Osica'}, {'authorId': '4786094', 'name': 'Keita Hagiwara'}, {'authorId': '35305599', 'name': 'M. Yoshizawa'}, {'authorId': '2059991096', 'name': 'M. Ishii'}, {'authorId': '46217985', 'name': 'Yoshiaki Chino'}, {'authorId': '49537203', 'name': 'K. Ohta'}, {'authorId': '51432906', 'name': 'K. Ludwichowska'}, {'authorId': '93920928', 'name': 'K. Kurzyd'}, {'authorId': '70091857', 'name': 'owski'}, {'authorId': '2610556', 'name': 'Shinsuke Ishihara'}, {'authorId': '2618166', 'name': 'T. Nakanishi'}]",,2018,
5,162862410,114,1,ISCC 2018 Technical Program Committee,"Michel Occello, Pierre Mendes France University, France Jean-Paul Jamont, Universite de Grenoble, France Luis-Felipe Rodriguez, Instituto Tecnologico de Sonora, Mexico Yasmin A. Rios-Solis, Universidad Autonoma de Nuevo Leon, Mexico Osvaldo Cairo, Instituto Tecnologico Autonomo de Mexico, Mexico Marios D. Dikaiakos, University of Cyprus, Cyprus Mohand-Said Hacid, Universite Claude Bernard Lyon 1, France Sarūnas Girdzijauskas, KTH, Sweden Murat Kantarcioglu, University of Texas at Dallas, USA James Joshi, University of Pittsburg, USA Massimo Mecella, University of Rome, Italy Athman Bouguettaya, RMIT, Australia Bugra Gedik, Bilkent University, Turkey Shangguang Wang, Beijing University of Posts & Telecommunications, China Zaiwen Feng, Wuhan University, China Anand Dersingh, Assumption University, Thailand Lalita Narupiyakul, Mahidol University, Thailand Sherif G. Aly, The American University in Cairo, Egypt Sumon Shahriar, CSIRO, Australia Jungpil Shin, The University of Aizu, Japan Jinan Fiaidhi, Lakehead University, Canada Hoda M. Hosny, The American University in Cairo, Egypt Wesley Gifford, IBM T. J. Watson Research Center, USA Dashun Wang, IBM T. J. Watson Research Center, USA Nan Shao, IBM T. J. Watson Research Center, USA Sechan Oh, IBM Almaden Research Center, USA Guangjie Ren, IBM Almaden Research Center, USA Yu Deng, IBM T. J. Watson Research Center, USA E E Jan, IBM T. J. Watson Research Center, USA Sai Zeng, IBM T. J. Watson Research Center, USA Yixin Diao, IBM T. J. Watson Research Center, USA Remco Dijkman, Eindhoven University of Technology, The Netherlands Claude Godart, University Henri Poincare, France Akhilesh Bajaj, The University of Tulsa, USA Dickson Chiu, The University of Hong Kong, Hong Kong Hong-va Leong, Hong Kong Polytechnic University, Hong Kong Qing Li, City University of Hong Kong, Hong Kong Dragan Gasevic, Simon Fraser University, Canada Tilmann Rabl, University of Toronto, Canada Masahiro Tanaka, National Institute of Information and Communications Technology (NICT), Japan Ladjel Bellatreche, LIAS/ISAE-ENSMA, France Vijay Varadharajan, Macquarie University, Australia Armin Haller, CSIRO, Australia Luis Vaquero, HP Lab, UK Miguel Vargas Martin, University of Ontario Institute of Technology, Canada Fabio Casati, University of Trento, Italy Hangwei Qian, VMware, Inc., USA Junhua Ding, East Carolina University, USA Eleanna Kafeza, Athens University of Economics and Business, Greece Wei-Tek Tsai, Arizona State University, USA Jie Xu, University of Leeds, UK San-Yih Hwang, National Sun Yat-sen University, Taiwan Xiaoling Wang, Eash China Normal University, China","[{'authorId': '2494542', 'name': 'M. Occello'}, {'authorId': '2093267582', 'name': 'Luis-Felipe Rodriguez'}, {'authorId': '1403027497', 'name': 'Y. A. Rios-Solis'}, {'authorId': '1774308', 'name': 'M. Dikaiakos'}, {'authorId': '1799327', 'name': 'Mohand-Said Hacid'}, {'authorId': '48854365', 'name': 'M. Kantarcioglu'}, {'authorId': '2177451', 'name': 'Shangguang Wang'}, {'authorId': '2078538104', 'name': 'Anand Dersingh'}, {'authorId': '2069997846', 'name': 'S. Aly'}, {'authorId': '2110939216', 'name': 'Jungpil Shin'}, {'authorId': '32263121', 'name': 'H. Hosny'}, {'authorId': '2140145924', 'name': 'Dashun Wang'}, {'authorId': '2067118750', 'name': 'Nan Shao'}, {'authorId': '2055939599', 'name': 'Guangjie Ren'}, {'authorId': '2111234205', 'name': 'Yu Deng'}, {'authorId': '2066679419', 'name': 'Sai Zeng'}, {'authorId': '88533812', 'name': 'R. Dijkman'}, {'authorId': '1711214', 'name': 'Dickson K. W. Chiu'}, {'authorId': '1714454', 'name': 'H. Leong'}, {'authorId': '2110303899', 'name': 'Masahiro Tanaka'}, {'authorId': '2110857471', 'name': 'Junhua Ding'}, {'authorId': '1729657', 'name': 'Eleanna Kafeza'}, {'authorId': '2208295', 'name': 'San-Yih Hwang'}]",10.1109/iscc.2018.8538764,2018,2018 IEEE Symposium on Computers and Communications (ISCC)
6,247233097,114,1,Climate trend analysis for a semi-arid Borana zone in southern Ethiopia during 1981–2018,,"[{'authorId': '2037338666', 'name': 'Mitiku Adisu Worku'}, {'authorId': '12065237', 'name': 'G. Feyisa'}, {'authorId': '2137781923', 'name': 'Kassahun Ture Beketie'}]",10.1186/s40068-022-00247-7,2022,Environmental Systems Research
7,254173394,114,1,"Meteorological Data Analysis of Temperature and Rainfall in the case of Southern Ethiopia (Western Guji, Guji, and Borana zone from 1988-2018)","This research studied meteorological data analysis of temperature and rainfall of Southern Ethiopia specifically Borana, West Guji, and Guji zone starting from 1988-to 2018. The study’s main concern on analysis of nature, trends, and rate of temperature and rainfall change, and lastly focuses on the effect of climate change on crops and livestock. The researchers employed a descriptive research design and both quantitative and qualitative approaches. The researchers employed MicroSoft Excel (Window 13), SPSS-21 version software, application of the Mann–Kendall test, and Sen's methods. The finding of this research was the temperature of all stations/zones of the study area was increased. The average temperature of moyale, Yabello, Bule Hora and Nagele is 23.47°C, 21.40°C, 19.20°C, and 17.41°C respectively and the smallest variation is observed in Bule Hora. The rainfall of the study area in all stations with the exception of Bule Hora, declined and the amount of average rainfall of Negele is much higher than others and followed by Bule Hora and the smallest rainfall was registered in Moyale. The average rainfall of Negele was 114mm, Bule Hora 80.98mm, Yabelo49.50mm and Moyale 44.89mm. The other finding of this research was crop and livestock of the study area where negatively affected. The researchers recommended-communities unity including government, private, NGO have a responsibility to minimize the effect of this climate change in the study area specifically and all developed and developing countries must come together to reduce change in climate and its negative effect in general.","[{'authorId': '2193350833', 'name': 'Belay Daba Gutem'}]",10.23880/jenr-16000304,2022,Journal of Ecology &amp; Natural Resources
8,250120177,114,1,Modeling and mapping the spatiotemporal variation in agricultural drought based on a satellite-derived vegetation health index across the highlands of Ethiopia,,"[{'authorId': '1572314906', 'name': 'Zerihun Chere'}, {'authorId': '88337970', 'name': 'A. Abegaz'}, {'authorId': '4373612', 'name': 'L. Tamene'}, {'authorId': '66855477', 'name': 'W. Abera'}]",10.1007/s40808-022-01439-x,2022,Modeling Earth Systems and Environment
9,251263973,114,1,Rainfall variability and trends in the Borana zone of southern Ethiopia,"
 This paper has examined the variability and trends of rainfall in the Borana zone, southern Ethiopia. Monthly rainfall data from 1981 to 2018 were obtained from the National Meteorological Agency (NMA) of Ethiopia. Mean, standard deviation and coefficient of variation were employed to analyze temporal variability. Mann–Kendall (MK) test and Sen's slope estimator (SEE) were used to determine trend and its magnitude, respectively. The inverse weighting distance (IDW) interpolation technique was employed to generate surface data and produce spatial rainfall maps. April and Belg were the wettest month and season, respectively. On an annual basis, Arero (741 mm) followed by Teltele (629 mm) were the wettest stations, whereas the Dillo station (285 mm) was the driest. Rainfall is highly variable on a monthly and seasonal basis than annual timescale. Meher rainfall has shown a significant rainfall increase (P-value <0.05) at most stations. A significant increase in annual rainfall was observed at Arero, Dehas, Dillo and Miyo. Spatially, rainfall decreases from the northeast and northwest parts of the Borana towards the southwest. The findings of this study can serve as a reference basis and provides useful information for policymakers to devise and implement better water management strategies in this water-scarce region.","[{'authorId': '2037338666', 'name': 'Mitiku Adisu Worku'}, {'authorId': '12065237', 'name': 'G. Feyisa'}, {'authorId': '2137781923', 'name': 'Kassahun Ture Beketie'}, {'authorId': '2951485', 'name': 'E. Garbolino'}]",10.2166/wcc.2022.173,2022,Journal of Water and Climate Change
