id,query_type1_pubs,query_type2_pubs,query_type3_pubs,query_type4_pubs,query_type5_pubs,query_type6_pubs,no_related_pubs_jdc_website
16,93,2,0,0,0,0,0
114,12,0,0,1978,2,2,1
131,3,0,0,0,0,0,0
132,34,0,0,0,0,0,0
136,15,49,2,15,49,2,2
137,7,35,1,7,35,1,2
148,15,14,0,15,14,0,1
149,22,0,0,22,0,0,0
150,22,0,0,22,0,0,0
152,22,0,0,22,0,0,0
153,22,0,0,22,0,0,0
154,22,0,0,22,0,0,0
155,22,0,0,22,0,0,0
156,22,0,0,22,0,0,0
159,22,0,0,22,0,0,0
160,1,6,0,1,6,0,0
161,1,3,0,1,3,0,0
164,0,10,1,0,10,1,1
165,0,0,0,0,0,0,0
170,0,0,0,2,0,0,0
172,3,2,0,3,0,0,0
174,1,2,0,2,0,0,0
184,57,6,29,0,0,0,0
185,19,0,0,0,0,0,0
186,39,0,0,0,0,0,1
187,57,4,0,57,4,0,0
188,0,2,0,2,0,0,0
189,16,3,1,6,0,1,13
190,0,0,0,2,0,0,13
191,16,5,0,9,2,0,0
192,0,1,0,3,0,0,0
193,2,3,0,3,1,0,0
194,0,2,0,0,0,0,0
195,8,1,0,7,0,0,0
196,8,14,0,13,1,0,0
197,2,0,0,3,0,0,0
198,0,0,0,2,0,0,0
199,5,6,0,7,1,0,0
200,5,0,0,5,0,0,0
202,0,0,0,2,0,0,0
203,16,0,0,5,0,0,0
204,44,0,0,23,0,0,0
205,20,0,0,20,0,0,0
206,4,10,1,0,0,0,1
207,4,10,1,2,0,0,1
208,7,35,1,0,0,0,5
209,38,108,52,38,108,52,0
210,15,0,0,15,0,0,0
211,15,0,0,15,0,0,0
212,23,0,0,0,0,0,0
213,2,14,1,2,14,1,1
214,104,40,29,0,0,0,0
215,12,1,1,4,0,0,7
216,4597,633,10,0,0,0,1
218,179,102,51,0,0,0,0
220,12,1,1,4,0,0,3
221,2,0,0,0,0,0,0
222,15,1,1,5,0,0,8
223,35,2,1,10,0,0,1
224,1,0,0,1,0,0,0
225,11,0,0,11,0,0,0
226,5,0,0,5,0,0,0
227,44,6,1,0,0,0,0
228,8,0,0,8,0,0,0
229,0,0,0,61,21,0,0
