paper_id,abstract_majority_country,body_majority_country
77499681,NONE,NONE
159355456,India,India
18982114,NONE,United States of America
37090719,NONE,NONE
18982460,NONE,NONE
18986705,NONE,NONE
199665735,NONE,Brazil
37092486,NONE,NONE
2870252,NONE,Switzerland
2871678,NONE,NONE
37095828,NONE,NONE
2874048,NONE,Spain
2874360,NONE,Japan
2874456,NONE,"Jersey, Mexico"
2874910,NONE,United States of America
2876847,NONE,NONE
2877363,NONE,United States of America
2878772,NONE,NONE
147015306,NONE,NONE
116985999,NONE,NONE
123621513,NONE,China
138410295,NONE,NONE
138418611,NONE,NONE
102801740,NONE,NONE
149777662,NONE,NONE
119420300,NONE,NONE
19175707,NONE,United States of America
119429742,NONE,Japan
17780374,NONE,NONE
17781384,NONE,NONE
17783165,NONE,Japan
17786458,NONE,NONE
19177679,NONE,Indonesia
42950429,NONE,Japan
8331565,NONE,Canada
8331913,NONE,NONE
8331927,NONE,NONE
8336483,Bosnia and Herzegovina,Bosnia and Herzegovina
8337224,NONE,United States of America
77499703,NONE,NONE
8337987,NONE,Netherlands
45911968,NONE,NONE
91041031,NONE,NONE
41514267,NONE,NONE
10700749,NONE,NONE
10702436,NONE,NONE
10703071,NONE,Guinea
10703504,NONE,Germany
10704481,NONE,New Zealand
10706360,NONE,NONE
10707190,NONE,NONE
10708767,NONE,NONE
10709089,NONE,NONE
17431149,NONE,NONE
17431394,NONE,NONE
17432774,NONE,Germany
17433432,NONE,Barbados
17433573,NONE,NONE
17436448,NONE,NONE
17437663,NONE,China
17439110,NONE,Japan
153662207,NONE,Kenya
153667879,Nigeria,Nigeria
204952294,NONE,NONE
204952909,NONE,"Denmark, Sweden"
204957862,NONE,Brazil
178699544,NONE,South Africa
97378812,NONE,NONE
79733447,NONE,NONE
79485241,Australia,Australia
149125059,NONE,Colombia
13462489,NONE,Guinea
13464991,Israel,"Belarus, Germany"
13465774,NONE,NONE
13469362,NONE,United States of America
188873253,NONE,NONE
37070181,Kenya,Kenya
120820468,China,China
120829038,NONE,NONE
8393282,"China, Equatorial Guinea",China
8393518,NONE,NONE
8394880,United Kingdom of Great Britain and Northern Ireland,NONE
8396972,NONE,NONE
8398230,NONE,NONE
71980018,France,France
71985546,NONE,NONE
56030306,NONE,"Denmark, Netherlands"
56031338,NONE,"Canada, Israel"
56032059,NONE,NONE
56033478,NONE,NONE
56033938,NONE,Iran (Islamic Republic of)
56038508,China,China
56038548,Nigeria,Nigeria
56038953,NONE,NONE
56039305,NONE,United States of America
110752296,NONE,NONE
201192340,NONE,"China, India"
5400225,NONE,NONE
55920662,NONE,NONE
55920951,NONE,NONE
55924388,NONE,Panama
55925077,NONE,China
55925659,NONE,NONE
55925699,NONE,NONE
55925854,NONE,"Türkiye, United States of America"
55928697,NONE,NONE
55929082,NONE,NONE
46441402,NONE,Brazil
88489565,NONE,NONE
90395763,NONE,NONE
213522464,"France, Germany, Italy, Netherlands, Spain",Netherlands
213527344,NONE,Argentina
213529594,NONE,NONE
26693823,NONE,"Belgium, Spain, United States of America"
23511605,NONE,NONE
23516295,NONE,Denmark
93103264,NONE,China
93104315,NONE,Spain
82893008,NONE,United States of America
145255921,NONE,NONE
28744544,NONE,NONE
28746366,NONE,NONE
128596818,India,India
31247668,NONE,NONE
57627755,NONE,NONE
135373659,Philippines,Philippines
24971288,NONE,Germany
