id,type,repositoryid,idno,title,Category,abbreviation,authoring_entity,nation,year_start,year_end,link_da,published,created,changed,varcount,total_views,total_downloads,created_by,changed_by,formid,pub_2020_Q1,pub_2020_Q2,pub_2020_Q3,pub_2020_Q4,pub_2021_Q1,pub_2021_Q2,pub_2021_Q3,pub_2021_Q4,pub_2022_Q1,pub_2022_Q2,pub_date,pub_current,origin,collection,region,Camps / Shelter / NFI,Cash Assistance,Communications,Education,Energy & Environment,Food Security,Health & Nutrition,"Housing, Land & Property",Multi-Sector Assessment,Peace-building,Protection,Socioeconomics & Livelihoods,Water Sanitation Hygiene,subject_check
16,survey,EHA,UNHCR-KEN-2015-SEA-1.1,Socio-economic assessment of refugees in Kenya's Kakuma camp 2015,Socioeconomic Assessment of Refugees,SEA,Office of the High Commissioner for Refugees,Kenya,2015,2015,,1,2019-03-07T16:52:51+01:00,2019-12-05T14:20:58+01:00,270,6234,84,17,17,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,1,,1
114,survey,EHA,UNHCR_ETH_SENS_2018_v1_2,"Standardized Expanded Nutrition Survey (SENS) in Melkadida Refugee Camps, Ethiopia 2018",Standardized Expanded Nutrition Survey (SENS),SENS,,Ethiopia,2018,2018,,1,2019-07-15T15:21:23+02:00,2019-12-05T14:38:14+01:00,105,244,7,37,37,3,0,0,0,0,0,0,0,0,1,1,2021-Q4,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,1,1,,,,,,1,3
131,survey,WA,UNHCR-BFA-2016-SEA-v2.1,Socio-economic assessment of Malian refugees - 2016,Socioeconomic Assessment of Refugees,SEA,Office of the High Commissioner for Refugees,Burkina Faso,2016,2016,,1,2019-07-31T12:26:31+02:00,2019-12-05T12:41:36+01:00,475,20077,206,102,102,3,0,0,1,1,1,1,1,1,1,1,2020-Q3,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
132,survey,WA,UNHCR-CMR-2016-SEA-1.1,"Socio-economic assessement of Central African refugees in Cameroon's Adamanou, Eastern and Northern regions 2016",Socioeconomic Assessment of Refugees,SEA,Office of the High Commissioner for Refugees,Cameroon,2016,2016,,1,2019-07-31T12:37:00+02:00,2019-12-05T13:49:24+01:00,503,3247,91,102,102,3,0,0,0,1,1,1,1,1,1,1,2020-Q4,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
136,survey,ASIA,UNHCR_BGD_MSNA_2018_v2.1,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – July 2018",Multi Sector Needs Assessment,MSNA,UNHCR,Bangladesh,2018,2018,,1,2019-10-18T18:57:11+02:00,2019-10-18T19:43:48+02:00,294,59725,323,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,1,,,,,1
137,survey,ASIA,UNHCR_BGD_MSNA_2019_v2.1,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response - January 2019",Multi Sector Needs Assessment,MSNA,UNHCR,Bangladesh,2019,2019,,1,2019-10-18T19:28:51+02:00,2019-10-18T19:36:25+02:00,321,10188,262,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,1,,,,,1
148,survey,ASIA,UNHCR_BGD_KAP_2018_v2.1,"WASH KAP Survey Rohingya Cox’s Bazar, 2018",KAP WASH Survey,WASHKAP,UNHCR,Bangladesh,2018,2018,,1,2019-10-29T11:33:14+01:00,2019-10-29T11:47:28+01:00,380,7824,193,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,,,,,1,1
149,survey,EHA,UNHCR_ETH_KAP_2017_GAMBELLA_KULE_v2.1,KPC (KAP) Survey Report Gambella Region Kule - 2017,KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T11:50:46+01:00,2019-10-29T11:53:08+01:00,145,4067,316,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
150,survey,EHA,UNHCR_ETH_KAP_2017_GAMBELLA_PUGNIDO_v2.1,KPC (KAP) Survey Report Gambella Region Pugnido - 2017,KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T11:55:57+01:00,2019-10-29T11:59:30+01:00,145,3320,157,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
152,survey,EHA,UNHCR_ETH_KAP_2017_GAMBELLA_TIERKIDI_v2.1,KPC (KAP) Survey Report Gambella Region Tierkidi - 2017,KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T12:10:28+01:00,2019-10-29T12:10:43+01:00,145,2488,254,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
153,survey,EHA,UNHCR_ETH_KAP_2017_SHIRE_ADIHARUSH_v2.1,"KPC (KAP) Survey Report Shire, Adi-Harush camp - 2017",KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T12:15:22+01:00,2019-10-29T12:15:41+01:00,129,2630,157,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
154,survey,EHA,UNHCR_ETH_KAP_2017_SHIRE_HISTAST_v2.1,"KPC (KAP) Survey Report Shire, Hitsats camp - 2017",KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T12:22:22+01:00,2019-10-29T12:22:51+01:00,129,2881,171,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
155,survey,EHA,UNHCR_ETH_KAP_2017_SHIRE_MAYINI_v2.1,"KPC (KAP) Survey Report Shire, May-Aini camp - 2017",KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T12:29:20+01:00,2019-10-29T12:35:12+01:00,129,2879,7288,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
156,survey,EHA,UNHCR_ETH_KAP_2017_SHIRE_SHIMELBA_v2.1,"KPC (KAP) Survey Report Shire, Shimelba camp - 2017",KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T12:36:19+01:00,2019-10-29T12:36:46+01:00,129,2291,160,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
159,survey,EHA,UNHCR_ETH_KAP_2017_GAMBELLA_PUGNIDO2_v2.1,KPC (KAP) Survey Report Gambella Region Pugnido II - 2017,KPC (KAP) Survey Report,KAP,UNHCR,Ethiopia,2017,2017,,1,2019-10-29T14:02:00+01:00,2019-10-29T14:02:14+01:00,145,3341,169,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
160,survey,WA,UNHCR_NER_2016_KAP_KABLEWA_v2.1,"WASH KAP Survey Diffa Region, Kablewa - December 2016",KAP WASH Survey,WASHKAP,UNHCR,Niger,2016,2016,,1,2019-10-29T14:18:12+01:00,2019-10-29T14:18:30+01:00,105,1431,105,102,102,3,0,0,0,1,1,1,1,1,1,1,2020-Q4,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,,1,1
161,survey,WA,UNHCR_NER_KAP_2018_SAYAM_v2.1,"WASH KAP Survey Diffa region, Sayam Forage - August 2018",KAP WASH Survey,WASHKAP,UNHCR,Niger,2018,2018,,1,2019-10-29T14:20:53+01:00,2019-10-29T14:21:07+01:00,105,1453,911,102,102,3,0,0,0,1,1,1,1,1,1,1,2020-Q4,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,,1,1
164,survey,SAO,UNHCR-ZWE-2019-KAP-v2.1,KAP WASH Survey in Tongorara Refugee Camp - 2019,KAP WASH Survey,WASHKAP,UNHCR,Zimbabwe,2019,2019,,1,2019-10-30T14:14:22+01:00,2019-12-05T14:55:58+01:00,27,1088,152,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,,1,1
165,survey,SAO,UNHCR_COG_2017_KAP_v2.1,KAP WASH Survey - 2017,KAP WASH Survey,WASHKAP,"UNHCR, The UN Refugee Agency","Congo, Rep.",2017,2017,,1,2019-10-30T14:34:51+01:00,2019-12-02T05:23:53+01:00,115,2380,400,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,,1,1
170,survey,SAO,UNHCR-ZWE-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Zimbabwe,2017,2017,,1,2019-12-04T21:28:52+01:00,2019-12-05T12:54:51+01:00,89,1954,145,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,1,,1
172,survey,SAO,UNHCR-ZMB-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Zambia,2017,2017,,1,2019-12-04T21:46:22+01:00,2019-12-05T12:53:07+01:00,89,1965,123,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,1,,1
174,survey,SAO,UNHCR-MWI-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Malawi,2017,2017,,1,2019-12-04T22:26:33+01:00,2019-12-05T12:51:03+01:00,89,2643,153,37,37,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,1,,1
184,survey,ASIA,UNHCR-AFG-2017-SEA-Herat-2.1,Socio-economic assessment of IDPs and returnees in the five most populated settlements of Afghanistan's Herat Province 2017,Socioeconomic assessment,SEA,Office of the High Commissioner for Refugees,Afghanistan,2017,2017,,1,2019-12-05T13:41:35+01:00,2019-12-05T13:46:47+01:00,185,2457,380,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,,,,1,,1
185,survey,SAO,UNHCR-MWI-2017-SEA-1.1,Socio-economic assessment of refugees and asylum seekers in Malawi's Dzaleka and Luwani camps 2017,Socioeconomic Assessment of Refugees,SEA,Office of the High Commissioner for Refugees,Malawi,2017,2017,,1,2019-12-05T13:53:07+01:00,2019-12-05T13:56:05+01:00,538,5910,172211,37,37,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,1,,1
186,survey,EHA,UNHCR-RWA-2016-SEA-1.1,"Socio-economic assessment of refugees in Rwanda's Gihembe, Kigeme and Kiziba camps 2016",Socioeconomic Assessment of Refugees,SEA,Office of the High Commissioner for Refugees,Rwanda,2016,2016,,1,2019-12-05T13:58:28+01:00,2019-12-05T14:06:47+01:00,507,9518,132,37,37,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,1,,1
187,survey,ASIA,UNHCR-AFG-2017-SEA_KhostPaktika-2.1,Socio-economic assessment of Pakistani refugees in Afghanistan's Khost and Paktika provinces 2017,Socioeconomic Assessment of Refugees,SEA,UNHCR,Afghanistan,2017,2017,,1,2019-12-05T14:11:53+01:00,2019-12-05T14:16:11+01:00,186,2404,224,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,,,,1,,1
188,survey,SAO,UNHCR-MOZ-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Mozambique,2017,2017,,1,2019-12-05T14:45:53+01:00,2019-12-05T14:48:26+01:00,89,2721,105,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,1,,1
189,survey,MENA,UNHCR_LBN_2018_VASYR_v2.1,"Vulnerability Assessment of Syrian Refugees in Lebanon, 2018",Vulnerability Assessment of Syrian Refugees (VASYR),VASYR,"UNHCR, WFP, UNICEF",Lebanon,2018,2018,,1,2019-12-10T16:15:48+01:00,2020-05-20T13:20:42+02:00,659,5843,166,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Mid. East & N. Africa,Mid. East & N. Africa,,,,,,,,,1,,,,,1
190,survey,MENA,UNHCR-DZA-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Algeria,2017,2017,,0,2019-12-19T16:41:08+01:00,2019-12-19T16:48:03+01:00,89,886,67,60,60,3,0,0,0,0,0,0,0,0,0,0,,0,UNHCR,Mid. East & N. Africa,Mid. East & N. Africa,,,,,,,,,,,,1,,1
191,survey,MENA,UNHCR-JOR-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Jordan,2017,2017,,1,2019-12-19T16:51:44+01:00,2019-12-19T16:54:29+01:00,89,2449,156,37,37,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Mid. East & N. Africa,Mid. East & N. Africa,,,,,,,,,,,,1,,1
192,survey,WA,UNHCR-GIN-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Guinea,2017,2017,,1,2019-12-19T22:06:46+01:00,2019-12-19T22:10:48+01:00,89,1916,151,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
193,survey,WA,UNHCR-GHA-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Ghana,2017,2017,,1,2019-12-19T22:13:35+01:00,2019-12-19T22:16:36+01:00,89,2022,138,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
194,survey,WA,UNHCR-BFA-LIS-2017-2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Burkina Faso,2017,2017,,1,2019-12-19T22:18:08+01:00,2019-12-19T22:21:26+01:00,89,2504,147,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
195,survey,EHA,UNHCR-SOM-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Somalia,2017,2017,,1,2019-12-19T22:25:17+01:00,2019-12-19T22:28:03+01:00,89,2009,134,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,1,,1
196,survey,EHA,UNHCR-KEN-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Kenya,2017,2017,,1,2019-12-19T22:29:17+01:00,2019-12-19T22:32:22+01:00,89,2437,149,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,1,,1
197,survey,WA,UNHCR-CHD-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Chad,2017,2017,,1,2019-12-19T22:35:38+01:00,2019-12-19T22:42:05+01:00,89,2958,224,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
198,survey,SA,UNHCR-ARG-LIS-2017-v2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Argentina,2017,2017,,1,2019-12-23T09:18:02+01:00,2019-12-23T09:21:57+01:00,89,3135,145,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Americas,Americas,,,,,,,,,,,,1,,1
199,survey,EHA,UNHCR-ETH-2017-LIS-2.1,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Livelihoods Programme Monitoring Beneficiary Survey,LIS,United Nations High Commissioner for Refugees,Ethiopia,2017,2017,,1,2019-12-23T11:43:43+01:00,2019-12-23T11:47:30+01:00,89,3109,197,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,1,,1
200,survey,WA,UNHCR-CMR-2015-SENS_v1_3,"SENS survey in the Central African refugee sites of the eastern region and Adamou in Cameroon, January and March 2015",Standardized Expanded Nutrition Survey (SENS),SENS,UNHCR,Cameroon,2015,2015,,1,2020-01-09T22:33:19+01:00,2020-01-09T22:43:20+01:00,125,1164,54,102,102,3,0,0,0,1,1,1,1,1,1,1,2020-Q4,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,1,,,,,,,1
202,survey,WA,UNHCR_SENS_TCD_2019_v1,SENS in Refugee Camps and Host Villages in South Chad and the Lac Region 2019,Standardized Expanded Nutrition Survey (SENS),SENS,"United Nations High Commissioner for Refugees, , , , ",Chad,2018,2019,,1,2020-01-16T11:19:08+01:00,2020-05-04T10:54:39+02:00,124,1,0,60,60,3,0,0,0,0,0,1,1,1,1,1,2021-Q2,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,1,,,,,,,1
203,survey,WA,UNHCR-TCD-2017-SEA-1.1,Socio-economic assessment of refugees in 2017,Socioeconomic Assessment of Refugees,SEA,United Nations High Commissioner for Refugees,Chad,2017,2017,,1,2020-01-16T13:26:08+01:00,2020-01-16T16:48:06+01:00,89,23,0,60,60,3,0,0,0,0,0,1,1,1,1,1,2021-Q2,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
204,survey,WA,UNHCR-TCD-2015-SEA-1.1,Socio-economic assessment of refugees in Gozamir and Belom camps 2015,Socioeconomic Assessment of Refugees,SEA,United Nations High Commissioner for Refugees,Chad,2014,2015,,1,2020-01-16T13:41:40+01:00,2020-01-16T16:48:45+01:00,74,4,0,60,60,3,0,0,0,0,0,1,1,1,1,1,2021-Q2,1,UNHCR,West & Central Africa,West & Central Africa,,,,,,,,,,,,1,,1
205,survey,SAO,UNHCR_ZWE_SEA_2017_v2.1,Socio-economic assessment of refugees in Tongogara camp 2017,Socioeconomic Assessment of Refugees,SEA,UNHCR,Zimbabwe,2017,2017,,1,2020-01-16T14:11:13+01:00,2020-01-16T16:48:55+01:00,356,39509,124,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Southern Africa,Southern Africa,,,,,,,,,,,,1,,1
